dtdp C00363
dtmp C00364
dtt C00265
dttOX C01119
dttp C00459
dudp C01346
dump C00365
duri C00526
dutp C00460
e4hglu C05947
e4p C00279
eandrstrn C07635
ebastine D01478
ecgon C10858
egme C12448
eicostetcoa C16164
elaid C01712
eryth C02022
estradiol C00951
estradiolglc C05503
estriol C05141
estriolglc C05504
estrone C00468
estroneglc C11133
estrones C02538
etha C00189
ethamp C00346
etoh C00469
f5hoxkyn C05647
f6p C00085
fad C00016
fadh2 C01352
fald C00067
fdp C00354
fe2 C14818
fe3 C14819
fgam C04376
ficytC C00125
fmn C00061
fna5moxam C05642
focytC C00126
fol C00504
for C00058
forcoa C00798
forglu C00439
fpram C04640
fprica C04734
frdp C00448
fru C00095
fuc1p__L C02985
fuc__L C01019
fum C00122
g1p C00103
g3p C00118
g3pc C00670
g6p C00092
gal C00124
gal1p C00446
galt C01697
gam C00329
gam6p C00352
gar C03838
gcald C00266
gchola C01921
gdp C00035
gdpddman C01222
gdpfuc C00325
gdpmann C00096
gdptp C04494
glac C02670
glc1man C04147
glc__D C00031
glcn C00257
glcr C00818
glcur C00191
glcur1p C05385
gln__L C00064
glu5p C03287
glu5sa C01165
gluala C03738
glucys C00669
glu__L C00025
glutcoa C00527
glx C00048
gly C00037
glyald C00577
glyb C00719
glyc C00116
glyc3p C00093
glyclt C00160
glyc__R C00258
gmp C00144
grdp C00341
gsn C00387
gthox C00127
gtocophe C02483
gtp C00044
gua C00242
gudac C00581
gullac C01040
guln__L C00800
h C00080
h2o C00001
h2o2 C00027
ha_pre1 C04794
hco3 C00288
hcys__L C00155
hdca C00249
hdcea C08362
hdd2coa C05272
hestratriol C14209
hgentis C00544
his__L C00135
hista C00388
hLkynr C03227
hmbil C01024
hmgcoa C00356
hom__L C00263
homoval C05582
hpyr C00168
hretn C16677
hxan C00262
hxdcal C00517
hyptaur C00519
i C00708
ibcoa C00630
icit C00311
id3acald C00637
idour C06472
idp C00104
ile__L C00407
im4ac C02835
im4act C05130
imp C00130
ind3ac C00954
indpyr C00331
inost C00137
ins C00294
iodine C01382
ipdp C00129
itaccoa C00531
itacon C00490
itp C00081
ivcoa C02939
k C00238
kynate C01717
L2aadp C00956
L2aadp6sa C04076
lac__D C00256
lac__L C00186
lald__D C00937
lald__L C00424
lanost C01724
lcts C00243
Lcyst C00506
L_dpchrm C01693
leuktrA4 C00909
leuktrB4 C02165
leuktrC4 C02166
leuktrD4 C05951
leuktrE4 C05952
leuktrF4 C06462
leu__L C00123
Lfmkynr C02700
lgnc C08320
lgnccoa C16529
lgt__S C03451
limnen C06078
lipoate C00725
Lkynr C00328
lnlccoa C02050
lnlncacoa C16162
lnlncg C06426
lnlncgcoa C03035
lpam C00248
Lpipecol C00408
lpro C02051
lthstrl C01189
lum3 C01164
lys__L C00047
lyxnt C05412
malACP C01209
malcoa C00083
mal__L C00149
malt C00208
malthp C06216
malthx C01936
maltpt C06218
malttr C01835
maltttr C02013
man C00159
man1p C00636
man6p C00275
melatn C01598
meoh C00132
mepi C05588
mercplac C05823
mercppyr C00957
mescoa C06028
mescon C01732
methf C00445
met__L C00073
mev__R C00418
mhista C05127
mi1346p C04477
mi134p C01243
mi13p C04062
mi14p C01220
mi1p__D C01177
mi3456p C04520
mi34p C04063
mi3p__D C04006
mi4p__D C03546
micit C04593
minohp C01204
mlthf C00143
mma C00218
mmcoa__R C01213
mmcoa__S C00683
msa C00222
mthgxl C00546
myrsACP C05761
N1aspmd C00612
N1sprm C02567
n4abutn C05936
n8aspmd C01029
na1 C01330
nac C00253
Nacasp C01042
Nacsertn C00978
nad C00003
nadh C00004
nadp C00006
nadph C00005
ncam C00153
Ndmelys C05545
nformanth C05653
nicrns C05841
nicrnt C01185
nifedipine C07266
Nmelys C03702
nmn C00455
nmptrc C02723
nmthsrtn C06212
no C00533
no2 C00088
normete__L C05589
npthl C00829
nrpphr C00547
nrvnc C08323
ntm2amep C06459
Ntmelys C05546
nwharg C05933
o2 C00007
o2s C00704
oaa C00036
ocACP C05752
occoa C01944
ocdca C01530
ocdcea C00712
octa C06423
octeACP C01203
od2coa C16218
oh1 C00001
orn C00077
orn__D C00515
orot C00295
orot5p C01103
oxa C00209
pac C00548
pacald C00601
pan4p C01134
pap C00054
paps C00053
pcollg5hlys C01211
pcollglys C16740
pcreat C02305
pcrn C03017
pd3 C07711
pdx5p C00627
peamn C05332
pecgon C12449
pecgoncoa C12450
pep C00074
peplys C02188
peracd C11924
perillyl C02452
phaccoa C00582
pheacgln C04148
phe__L C00079
pheme C00032
phllqne C02059
phpyr C00166
phyt C01607
phyt2ohcoa C07343
phytcoa C02060
pi C00009
pmtcoa C00154
pmtcrn C02990
pnto__R C00864
ppa C00163
ppbng C00931
ppcoa C00100
ppi C00013
ppmi12346p C11526
ppmi1346p C01204
ppp9 C02191
pppg9 C01079
pppi C00536
pram C03090
prgnlone C01953
prgnlones C18044
prgstrn C00410
pro__D C00763
pro__L C00148
prostg1 C04654
prostgd2 C00696
prostge1 C04741
prostge2 C00584
prostgf2 C00639
prostgh2 C00427
prostgi2 C01312
prpp C00119
pser__L C01005
ptdca C16537
ptrc C00134
ptth C00831
pyam5p C00647
pydam C00534
pydx C00250
pydx5p C00018
pydxn C00314
pylald C02576
pyr C00022
q10 C11378
quln C03722
r1p C00620
r5p C03736
rbl__D C00309
rbt C00474
retinal C00376
retinal_11_cis C02110
retinal_cis_9 C16681
retinol C00473
retinol_9_cis C16682
retinol_cis_11 C00899
retn C00777
retnglc C11061
rib__D C00121
ribflv C00255
rnam C03150
ru5p__D C00199
s7p C05382
saccrp__L C00449
sarcs C00213
sbt__D C00794
seahcys C05692
seasmet C05691
sel C05697
selcys C05688
selcyst C05699
selhcys C05698
selmeth C05335
seln C01528
selnp C05172
ser__D C00740
ser__L C00065
Sfglutth C01031
so3 C00094
so4 C00059
sph1p C01120
sphgn C00836
sphings C00319
sphs1p C06124
spmd C00315
sprm C00750
sql C00751
srb__L C00247
srtn C00780
stcoa C00412
strdnccoa C16163
succ C00042
succoa C00091
sucr C00089
sucsal C00232
t2m26dcoa C11945
T4hcinnm C00811
tag__D C00795
taur C00245
taxol C07394
tchola C05122
tcynt C01755
tdchola C05465
tdcoa C02593
tethex3coa C16168
tetpent3coa C16167
tetpent6coa C16172
tettet6coa C16171
thbpt C00272
thcholoylcoa C05448
thcholst C01301
thcholstoic C04722
thcys C01962
thf C00101
thm C00378
thmmp C01081
thmpp C00068
thmtp C03028
thp2c C00450
thr__L C00188
thrnt C01620
thym C00178
thymd C00214
thyox__L C01829
tmlys C03793
tmndnccoa C16165
tolbutamide C07148
trdox C00343
trdrd C00342
tre C01083
triodthy C02465
trp__L C00078
trypta C00398
tststerone C00535
tststeroneglc C11134
tsul C00320
ttc_ggdp C11356
ttdca C06424
txa2 C02198
tym C00483
tyr__L C00082
uacgam C00043
udp C00015
udpacgal C00203
udpg C00029
udpgal C00052
udpglcur C00167
udpxyl C00190
ump C00105
uppg3 C01051
ura C00106
urate C00366
urcan C00785
urea C00086
uri C00299
utp C00075
vacc C08367
val__L C00183
vitd2 C05441
vitd3 C05443
whhdca C18218
whtststerone C05294
xan C00385
xmp C00655
xol24oh C13550
xol25oh C15519
xol27oh C15610
xol7a C03594
xol7ah C05451
xol7ah2 C05452
xol7ah2al C05445
xol7ah3 C05444
xol7aone C05455
xoldiolone C17339
xoldioloneh C05453
xoltetrol C05446
xoltri24 C15518
xoltri25 C15520
xoltri27 C06341
xoltriol C05454
xtp C00700
xtsn C01762
xu1p__D C06441
xu5p__D C00231
xyl__D C00181
xylnt C05411
xylt C00379
xylu__D C00310
xylu__L C00312
zymst C05437
zymstnl C03845
